category,pub_date,url,keywords,authors,id,collection_name,title,is_processed
quantum_physics,2024-12-19,http://arxiv.org/abs/2412.15207v1,"{""Quantum diffusion"",Delocalization,""Band matrices"",""Flow method"",""Random matrix universality"",""Gaussian unitary ensemble (GUE)"",""Anderson model"",Localization,""Bethe lattice"",Eigenvalues,Eigenvectors,""Poisson point process"",""Wigner semicircle law"",""Thouless conductance fluctuation theory"",""GUE statistics"",Bulk,""Spectral edge""}","Sofiia Dubova, Kevin Yang",139,quantum_physics,Quantum diffusion and delocalization in one-dimensional band matrices via the flow method,True
quantum_physics,2024-12-19,http://arxiv.org/abs/2412.15196v1,"{""Quantum Otto Engine"",""Control Noise"",""Quantum Enhancement"",""Counterdiabatic Driving"",""Quantum Lubrication"",""Finite-Time Thermodynamics"",""Projective Energy Measurements"",""Thermodynamic Uncertainty Relations"",""Quantum Thermodynamics"",""Open Quantum Systems"",""Noisy Driving Protocols"",""Thermal Baths"",""Quantum Coherence"",""Work Extraction"",Efficiency,Power,Fluctuations,Adiabaticity,""Quantum Control""}","Theodore McKeever, Owen Diba, Ahsan Nazir",140,quantum_physics,A Finite-Time Quantum Otto Engine subject to Control Noise and Enhancement Techniques,True
quantum_physics,2011-06-09,http://dx.doi.org/10.1038/ncomms1544,"{""Quantum Interface"",""Wavelength Conversion"",Visible-to-Telecommunication,""Nonlinear Crystal"",""Wide Bandwidth"",""High-Speed Interface"",""Entanglement Preservation"",""Quantum Communication"",""Quantum Information Processing"",""Optical Fiber Communication"",""Frequency Conversion"",""Second-Order Nonlinearity"",""Periodically-Poled LiNbO3 (PPLN)"",""Difference-Frequency Generation (DFG)"",""Non-Classical Light"",""Single-Photon Pulse"",""Pico-second Pulse"",""Sub-Poissonian Statistics"",""Entangled Photon Pair"",""Quantum Dynamics"",""780 nm"",""1522 nm""}","Rikizo Ikuta, Yoshiaki Kusaka, Tsuyoshi Kitano, Hiroshi Kato, Takashi Yamamoto, Masato Koashi, Nobuyuki Imoto",141,quantum_physics,Wide-band quantum interface for visible-to-telecommunication wavelength conversion,True
quantum_physics,2016-09-30,http://dx.doi.org/10.1038/s41467-017-01905-6,"{""\""* **Quantum Computing:** This is the overarching theme of the text."",""Quantum Error Correction (QEC):**  Specifically mentioned as crucial for large-scale quantum computing."",""Surface Code:** A particular type of QEC mentioned as having high fault tolerance."",""Fault-Tolerant Quantum Computing:**  The goal of using QEC."",""Silicon CMOS Architecture:** The core proposal of the paper, using existing technology."",""Spin Qubits:** The specific type of qubit utilized in the proposed architecture."",""Silicon-on-Insulator (SOI) Wafer:** The material base for the proposed architecture."",""Scalability:** A key requirement and challenge for quantum computing, addressed by this architecture."",""Classical-Quantum Interface:**  The connection between classical control systems and the quantum processor."",""Transistor-based Control Circuit:** How the qubits are controlled."",""Charge-Storage Electrodes:** Used in conjunction with transistors for qubit operation."",""Quantum Dot:** The physical structure confining the single electron spin."",""Exchange Interactions:** How the qubits are coupled."",""Microwave Cavity:** Used for qubit control."",""Gate-based Dispersive Readout:** How the qubit states are measured."",""Two-Dimensional Qubit System:** The physical layout of the qubits."",""Parallel Addressing:** A method borrowed from classical computing, adapted for qubit control."",""Floating Memory Gate Electrodes:** Used for qubit stabilization, analogous to DRAM."",""CMOS Technology:**  Leveraging existing and mature technology for quantum computing."",""Integrated Circuits (ICs):**  Relating the architecture to existing silicon chip technology."",""This list covers the key concepts and terms that are central to understanding the paper""}","M. Veldhorst, H. G. J. Eenink, C. H. Yang, A. S. Dzurak",142,quantum_physics,Silicon CMOS architecture for a spin-based quantum computer,True
quantum_physics,2024-12-19,http://arxiv.org/abs/2412.15183v1,"{""Black hole interior"",""Quantum complexity"",""Operator rank"",""Circuit complexity"",""Circuit depth"",""Hartman-Maldacena (HM) surface"",Area,""Quantum circuit"",""Thermofield double (TFD) state"",""Entanglement entropy"",""Sachdev-Ye-Kitaev (SYK) model"",""Krylov complexity"",""Operator Schmidt rank"",""Wheeler-DeWitt patch"",""Black hole state"",""Quantum dynamics"",""Unitary evolution"",""Entanglement in time"",""Codimension-two surface"",""Extremal surface""}",Alexey Milekhin,143,quantum_physics,From black hole interior to quantum complexity through operator rank,True
quantum_physics,2024-12-19,http://arxiv.org/abs/2412.15181v1,"{Cosmology**,""Cosmological Principle**"",""FLRW Metric**"",""Metric Perturbations**"",""Stress-Energy Perturbations**"",Inflation**,""CMB Anomalies**"",""Large-Scale Structure**"",Backreaction**,""Spatial Anisotropies**"",""Hubble Flow**"",""Long-Wavelength Perturbations**"",""Scalar Perturbations**"",""Tensor Perturbations**"",""Bianchi Cosmologies**"",""Bianchi Type I**"",""Bianchi Type V**"",""Bianchi Type IX**"",""Spatial Curvature**"",""Gravitational Waves**"",""Adiabatic Perturbations**"",""Matter-Dominated Universe**"",""Gauge Modes**"",""Horizon Scale**"",""Superhorizon Fluctuations**""}","Jorge Noreña, Thiago Pereira, Sean K. Reynolds",144,quantum_physics,Spatial anisotropies from long wavelength tensor modes,True
quantum_physics,2024-12-19,http://arxiv.org/abs/2412.15180v1,"{""Page Curve"",""Black Hole Information Paradox"",""Entanglement Dynamics"",""Quantum Computing"",""Quantum Simulation"",""Hawking Radiation"",""Qubit Transport Model"",""Scrambling Dynamics"",""Random Unitary Circuit"",""Swap-based Many-Body Interference"",""Randomized Measurement Protocol"",""R´enyi Entropy"",""IBM Superconducting Quantum Computers"",""Quantum Error Mitigation"",""Quantum Entanglement"",""Hayden-Preskill Protocol"",""Yoshida-Kitaev Decoding Protocol""}","Talal Ahmed Chowdhury, Kwangmin Yu, Muhammad Asaduzzaman, Raza Sabbir Sufian",145,quantum_physics,Capturing the Page Curve and Entanglement Dynamics of Black Holes in Quantum Computers,True
quantum_physics,2007-05-02,http://dx.doi.org/10.1038/nphys698,"{""Quantum computing"",""Quantum computers"",Scalability,Qubits,""Optical tweezers"",""Neutral atoms"",""Atom transport"",""Qubit transfer"",""Coherence preservation"",""Dipole trap"",""Quantum register"",""Two-qubit gate"",""Quantum gate"",""Trapped ions"",""Holographic techniques"",""Micro-fabricated elements"",""Mott insulator transition"",""Optical lattice"",""Bose-Einstein condensate"",""Subwavelength addressability"",""Optical conveyor belts"",""State-dependent moving optical lattices"",""Rubidium 87"",""Hyperfine ground states"",""Raman transition"",""Ramsey interferometry"",""Spin echo"",Dephasing,""Single-qubit operations"",""Cold atoms"",""Atom manipulation""}","J. Beugnon, C. Tuchendler, H. Marion, A. Gaetan, Y. Miroshnychenko, Y. R. P. Sortais, A. M. Lance, M. P. A. Jones, G. Messin, A. Browaeys, P. Grangier",146,quantum_physics,Two-dimensional transport and transfer of a single atomic qubit in optical tweezers,True
quantum_physics,2024-12-19,http://arxiv.org/abs/2412.15131v1,"{""Gravitational waves (GW)"",""Extreme Mass Ratio Inspirals (EMRIs)"",LISA,""Black holes (BHs)"",""Scalar field"",""Scalar wig"",Schwarzschild,Kerr,""Orbital motion"",""Gravitational waveform"",""Mass ratio"",""Fundamental physics"",""General Relativity (GR)"",""Standard Model"",""Scalar charge"",""Binary coalescence"",""Strong-field gravity"",Perturbations,Fluxes,LIGO,Virgo,KAGRA,""Non-minimal coupling""}","Matteo Della Rocca, Georgios Antoniou, Leonardo Gualtieri, Andrea Maselli",155,quantum_physics,Probing time-dependent scalar wigs with extreme mass ratio inspirals,True
quantum_physics,2023-08-20,http://arxiv.org/abs/2308.10218v1,"{""Nuclear Magnetic Resonance (NMR)**: This is the central theme of the paper."",""Quantum Mechanics**: The theoretical framework used to describe NMR phenomena."",""Spin 1/2**: The specific type of quantum system being studied."",""Magnetic Field Gradients**:  A key experimental parameter and potential tool for quantum computing."",""Schrödinger Equation**: The fundamental equation used to analyze the spin evolution."",""Hamiltonian**: The operator representing the energy of the system."",""Nuclear Spin Noise**:  A phenomenon studied and explained within the context of the presented theory."",""Magnetic Resonance Imaging (MRI)**: An application of NMR mentioned in the context of the research."",""Radio Frequency (RF) Magnetic Fields**:  Traditional tool in NMR, contrasted with the gradient-based approach."",""Entangled Spin 1/2 States**:  Relevant to the potential application in quantum computing."",""Quantum Computation**:  A potential application of manipulating spins with magnetic field gradients."",""Magnetic Field**:  The fundamental interaction influencing the spin system."",""Wave Function**:  The quantum mechanical description of the spin state."",""Magnetization**:  A macroscopic observable related to the spin state."",""Complex Susceptibility**:  A quantity used to describe the response of the spin system."",""Pauli Matrices**:  Mathematical objects used to represent spin operators."",""Open Quantum Systems**:  A theoretical framework mentioned in relation to the spin system interacting with its environment."",""It\\""}","Tarek Khalil, Daniel Grucker",147,quantum_physics,Reformulating the NMR Quantum Mechanics Fundamental Aspects: Spin 1/2 Evolution in Magnetic Field Gradients,True
